sector,average_yearly_return
RETAILING,1.133053993255651
AUTOMOBILES,0.9597697411213735
POWER,0.5151326699834162
ENERGY,0.5026078529550144
ALUMINIUM,0.3586831961662674
TEXTILES,0.3578198804497765
SOFTWARE,0.30893884261629445
PHARMACEUTICALS,0.2567636117686845
FOOD & TOBACCO,0.07936327458783395
